year,quarter,consumption,income
1970,Q1,0.61227692,0.496540045
1970,Q2,0.45492979,1.736459591
1970,Q3,0.87467302,1.344880981
1970,Q4,-0.27251439,-0.328145953
1971,Q1,1.89218699,1.965432327
1971,Q2,0.91337819,1.490757133
1971,Q3,0.79285790,0.442927733
1971,Q4,1.64999566,1.050230993
1972,Q1,1.32724825,0.629713564
1972,Q2,1.88990506,0.934207242
1972,Q3,1.53272416,2.024456496
1972,Q4,2.31705777,3.901784825
1973,Q1,1.81385569,1.129195652
1973,Q2,-0.05055772,0.981487307
1973,Q3,0.35966722,0.503626895
1973,Q4,-0.29331546,1.211474571
1974,Q1,-0.87877094,-1.546943855
1974,Q2,0.34672003,-0.860297695
1974,Q3,0.41195356,0.310671244
1974,Q4,-1.47820468,-0.452458059
1975,Q1,0.83735987,-0.393048299
1975,Q2,1.65397369,4.564235521
1975,Q3,1.41431884,-1.359432036
1975,Q4,1.05310993,1.006575406
1976,Q1,1.97774749,1.462092078
1976,Q2,0.91507218,0.819999864
1976,Q3,1.05074607,0.896376224
1976,Q4,1.29519619,0.715996597
1977,Q1,1.13545889,0.082385052
1977,Q2,0.55153240,1.131054305
1977,Q3,0.95015960,1.490114704
1977,Q4,1.49616150,1.995499552
1978,Q1,0.58229978,0.614904129
1978,Q2,2.11467168,1.141343133
1978,Q3,0.41869886,0.808026906
1978,Q4,0.80276430,0.782540078
1979,Q1,0.50412878,1.087249832
1979,Q2,-0.05855113,-0.700631545
1979,Q3,0.97755597,0.568900915
1979,Q4,0.26591209,0.797134552
1980,Q1,-0.17368425,0.279831351
1980,Q2,-2.29656300,-1.409415369
1980,Q3,1.06691983,1.024445050
1980,Q4,1.32441742,2.043130338
1981,Q1,0.54583283,-0.229300048
1981,Q2,0.00000000,0.013772840
1981,Q3,0.40482184,2.193050433
1981,Q4,-0.75874883,0.201893379
1982,Q1,0.64399814,0.116463988
1982,Q2,0.35685950,0.698172650
1982,Q3,0.76412375,0.436938581
1982,Q4,1.80788661,0.351269015
1983,Q1,0.97593734,0.784231599
1983,Q2,1.96559809,0.726007440
1983,Q3,1.75134970,1.489909944
1983,Q4,1.57374005,2.042140999
1984,Q1,0.85322727,2.163513516
1984,Q2,1.42002574,1.707008683
1984,Q3,0.76950200,1.545359737
1984,Q4,1.30747803,0.946974902
1985,Q1,1.68128155,-0.246259445
1985,Q2,0.90791081,1.966841071
1985,Q3,1.88085044,-0.620830801
